X,Y,NUMBER,NAME,PERIOD,icon_url
94.875577,21.169777,,,,./0.png
94.87713,21.169887,,,,./0.png
94.877147,21.170434,,,,./0.png
94.877778,21.169884,,,,./0.png
94.878483,21.170168,,,,./0.png
94.878421,21.170327,,,,./0.png
94.878518,21.170426,,,,./0.png
94.87846,21.170903,,,,./0.png
94.878462,21.171012,,,,./0.png
94.87812,21.170875,,,,./0.png
94.878272,21.171172,,,,./0.png
94.878264,21.171341,,,,./0.png
94.878487,21.17136,,,,./0.png
94.878202,21.17154,,,,./0.png
94.87851,21.171449,,,,./0.png
94.875772,21.169219,,,,./0.png
94.877757,21.172447,,,,./0.png
94.877716,21.172586,,,,./0.png
94.876689,21.1729,,,,./0.png
94.879191,21.172429,,,,./0.png
94.879446,21.172427,,,,./0.png
94.879339,21.172329,,,,./0.png
94.87939,21.172159,,,,./0.png
94.879247,21.173471,,,,./0.png
94.879269,21.173571,,,,./0.png
94.878788,21.173365,,,,./0.png
94.878618,21.173346,,,,./0.png
94.880245,21.173396,,,,./0.png
94.880222,21.173247,,,,./0.png
94.881583,21.173339,,,,./0.png
94.881863,21.172742,,,,./0.png
94.877701,21.174016,,,,./0.png
94.877736,21.175089,,,,./0.png
94.877737,21.175198,,,,./0.png
94.878495,21.174568,,,,./0.png
94.878261,21.17457,,,,./0.png
94.87555,21.174545,,,,./0.png
94.874615,21.17453,,,,./0.png
94.874862,21.174757,,,,./0.png
94.875504,21.175141,,,,./0.png
94.875338,21.17545,,,,./0.png
94.875445,21.175499,,,,./0.png
94.873905,21.173908,,,,./0.png
94.873819,21.173829,,,,./0.png
94.873463,21.171646,,,,./0.png
94.881705,21.176338,,,,./0.png
94.88187,21.176755,,,,./0.png
94.882139,21.177021,,,,./0.png
94.881693,21.177083,,,,./0.png
94.881476,21.176707,,,,./0.png
94.881506,21.176568,,,,./0.png
94.881516,21.176479,,,,./0.png
94.88228,21.176375,,,,./0.png
94.882327,21.176752,,,,./0.png
94.882322,21.177249,,,,./0.png
94.88311,21.177364,,,,./0.png
94.883192,21.177115,,,,./0.png
94.881989,21.176069,,,,./0.png
94.882266,21.176087,,,,./0.png
94.882297,21.176007,,,,./0.png
94.881072,21.174087,,,,./0.png
94.88236,21.174239,,,,./0.png
94.882739,21.173958,,,,./0.png
94.882689,21.174217,,,,./0.png
94.882926,21.175368,,,,./0.png
94.884152,21.174785,,,,./0.png
94.884077,21.17556,,,,./0.png
94.883973,21.17573,,,,./0.png
94.885187,21.175981,,,,./0.png
94.885399,21.17591,,,,./0.png
94.88426,21.174,,,,./0.png
94.884077,21.173017,,,,./0.png
94.884043,21.172849,,,,./0.png
94.884072,21.17262,,,,./0.png
94.885362,21.173795,,,,./0.png
94.885237,21.173944,,,,./0.png
94.88693,21.175892,,,,./0.png
94.886837,21.176121,,,,./0.png
94.886756,21.176459,,,,./0.png
94.886757,21.176568,,,,./0.png
94.886501,21.17648,,,,./0.png
94.886457,21.176341,,,,./0.png
94.886287,21.176333,,,,./0.png
94.886497,21.176123,,,,./0.png
94.887606,21.17554,,,,./0.png
94.887238,21.175076,,,,./0.png
94.88558,21.176754,,,,./0.png
94.885571,21.178671,,,,./0.png
94.884641,21.179123,,,,./0.png
94.883126,21.179479,,,,./0.png
94.882703,21.178836,,,,./0.png
94.881821,21.180599,,,,./0.png
94.879444,21.175676,,,,./0.png
94.879587,21.176082,,,,./0.png
94.879619,21.176132,,,,./0.png
94.879642,21.17628,,,,./0.png
94.879362,21.175964,,,,./0.png
94.892126,21.17926,,,,./0.png
94.891962,21.178873,,,,./0.png
94.89224,21.178991,,,,./0.png
94.892448,21.179476,,,,./0.png
94.892464,21.179029,,,,./0.png
94.894432,21.180011,,,,./0.png
94.900394,21.177375,,,,./0.png
94.898874,21.176102,,,,./0.png
94.901498,21.183627,,,,./0.png
94.910977,21.187675,,,,./0.png
94.912603,21.191897,,,,./0.png
94.912199,21.191869,,,,./0.png
94.910106,21.18769,,,,./0.png
94.910888,21.185619,,,,./0.png
94.925477,21.207139,,,,./0.png
94.925542,21.207188,,,,./0.png
94.925156,21.206912,,,,./0.png
94.89544,21.193158,,,,./0.png
94.895136,21.193497,,,,./0.png
94.894862,21.193697,,,,./0.png
94.889953,21.192215,,,,./0.png
94.890005,21.192096,,,,./0.png
94.888858,21.193006,,,,./0.png
94.889518,21.193092,,,,./0.png
94.889728,21.192892,,,,./0.png
94.889594,21.19325,,,,./0.png
94.880951,21.186286,,,,./0.png
94.881109,21.186156,,,,./0.png
94.881236,21.186126,,,,./0.png
94.881216,21.186235,,,,./0.png
94.882866,21.186434,,,,./0.png
94.881667,21.185746,,,,./0.png
94.881707,21.185547,,,,./0.png
94.882685,21.18726,,,,./0.png
94.883283,21.187525,,,,./0.png
94.883467,21.187742,,,,./0.png
94.882118,21.185237,,,,./0.png
94.882303,21.184779,,,,./0.png
94.88189,21.183162,,,,./0.png
94.882698,21.183147,,,,./0.png
94.88066,21.182493,,,,./0.png
94.88065,21.182553,,,,./0.png
94.880724,21.182582,,,,./0.png
94.875699,21.183633,,,,./0.png
94.877028,21.182851,,,,./0.png
94.87579,21.182371,,,,./0.png
94.875759,21.182511,,,,./0.png
94.875735,21.182233,,,,./0.png
94.875765,21.182083,,,,./0.png
94.875926,21.182271,,,,./0.png
94.875914,21.181218,,,,./0.png
94.875933,21.181049,,,,./0.png
94.876071,21.181068,,,,./0.png
94.87805,21.182051,,,,./0.png
94.877977,21.18222,,,,./0.png
94.878369,21.182079,,,,./0.png
94.878372,21.182327,,,,./0.png
94.87495,21.180657,,,,./0.png
94.875129,21.180537,,,,./0.png
94.875181,21.180408,,,,./0.png
94.874597,21.180451,,,,./0.png
94.874568,21.180679,,,,./0.png
94.874246,21.180473,,,,./0.png
94.873855,21.180654,,,,./0.png
94.874674,21.181593,,,,./0.png
94.874515,21.181614,,,,./0.png
94.87442,21.181664,,,,./0.png
94.873521,21.181132,,,,./0.png
94.873361,21.181133,,,,./0.png
94.874071,21.179162,,,,./0.png
94.874126,21.179321,,,,./0.png
94.872479,21.178545,,,,./0.png
94.872449,21.178665,,,,./0.png
94.872194,21.178716,,,,./0.png
94.872224,21.178537,,,,./0.png
94.872075,21.178518,,,,./0.png
94.872036,21.178846,,,,./0.png
94.872292,21.178864,,,,./0.png
94.87243,21.178864,,,,./0.png
94.872526,21.178883,,,,./0.png
94.872399,21.178963,,,,./0.png
94.872315,21.179013,,,,./0.png
94.872358,21.179073,,,,./0.png
94.870582,21.183364,,,,./0.png
94.870551,21.183443,,,,./0.png
94.869842,21.182782,,,,./0.png
94.869818,21.182613,,,,./0.png
94.870264,21.182541,,,,./0.png
94.870283,21.182342,,,,./0.png
94.870196,21.182214,,,,./0.png
94.870174,21.182134,,,,./0.png
94.870173,21.182025,,,,./0.png
94.870192,21.181866,,,,./0.png
94.870233,21.181737,,,,./0.png
94.870073,21.181698,,,,./0.png
94.869988,21.181678,,,,./0.png
94.869933,21.181579,,,,./0.png
94.86971,21.18159,,,,./0.png
94.870012,21.181042,,,,./0.png
94.870118,21.181012,,,,./0.png
94.870106,21.180893,,,,./0.png
94.870305,21.180713,,,,./0.png
94.870304,21.180574,,,,./0.png
94.870049,21.180575,,,,./0.png
94.869664,21.180438,,,,./0.png
94.869078,21.180283,,,,./0.png
94.869216,21.180262,,,,./0.png
94.868615,21.180663,,,,./0.png
94.868648,21.180752,,,,./0.png
94.86867,21.180831,,,,./0.png
94.868717,21.17948,,,,./0.png
94.868608,21.179262,,,,./0.png
94.869533,21.179257,,,,./0.png
94.869681,21.179177,,,,./0.png
94.869757,21.179335,,,,./0.png
94.870069,21.178797,,,,./0.png
94.870034,21.178509,,,,./0.png
94.86992,21.178728,,,,./0.png
94.869918,21.17857,,,,./0.png
94.869863,21.178431,,,,./0.png
94.86975,21.178769,,,,./0.png
94.870256,21.178399,,,,./0.png
94.870492,21.178626,,,,./0.png
94.870538,21.178874,,,,./0.png
94.870499,21.179123,,,,./0.png
94.870844,21.179578,,,,./0.png
94.870972,21.179607,,,,./0.png
94.870723,21.180115,,,,./0.png
94.871942,21.17979,,,,./0.png
94.872159,21.180166,,,,./0.png
94.873147,21.176674,,,,./0.png
94.873135,21.176515,,,,./0.png
94.872959,21.177828,,,,./0.png
94.873075,21.177747,,,,./0.png
94.873181,21.177687,,,,./0.png
94.873201,21.177568,,,,./0.png
94.87469,21.177669,,,,./0.png
94.874713,21.177818,,,,./0.png
94.874575,21.177789,,,,./0.png
94.875124,21.177517,,,,./0.png
94.87489,21.177519,,,,./0.png
94.875747,21.177137,,,,./0.png
94.875935,21.176927,,,,./0.png
94.874444,21.176657,,,,./0.png
94.874329,21.176807,,,,./0.png
94.87402,21.176739,,,,./0.png
94.874002,21.177027,,,,./0.png
94.874554,21.17613,,,,./0.png
94.872952,21.177222,,,,./0.png
94.87191,21.178032,,,,./0.png
94.871782,21.178023,,,,./0.png
94.873941,21.175498,,,,./0.png
94.873975,21.175666,,,,./0.png
94.875442,21.177436,,,,./0.png
94.875358,21.177526,,,,./0.png
94.875624,21.177505,,,,./0.png
94.87559,21.177396,,,,./0.png
94.875296,21.177685,,,,./0.png
94.875169,21.177716,,,,./0.png
94.875837,21.178408,,,,./0.png
94.876126,21.178644,,,,./0.png
94.87651,21.178712,,,,./0.png
94.869789,21.176752,,,,./0.png
94.86999,21.176632,,,,./0.png
94.869462,21.175195,,,,./0.png
94.870032,21.174893,,,,./0.png
94.870273,21.174544,,,,./0.png
94.870422,21.174564,,,,./0.png
94.870377,21.174375,,,,./0.png
94.870707,21.174453,,,,./0.png
94.871239,21.174499,,,,./0.png
94.872159,21.17667,,,,./0.png
94.87233,21.176758,,,,./0.png
94.872468,21.176767,,,,./0.png
94.872456,21.176608,,,,./0.png
94.871281,21.177002,,,,./0.png
94.86467,21.177973,,,,./0.png
94.864545,21.178182,,,,./0.png
94.864375,21.178183,,,,./0.png
94.864398,21.178302,,,,./0.png
94.864302,21.178283,,,,./0.png
94.864383,21.177994,,,,./0.png
94.864574,21.177914,,,,./0.png
94.864432,21.180209,,,,./0.png
94.863684,21.179945,,,,./0.png
94.863533,21.180591,,,,./0.png
94.864716,21.175628,,,,./0.png
94.864782,21.175787,,,,./0.png
94.867861,21.175541,,,,./0.png
94.860557,21.178025,,,,./0.png
94.857556,21.171585,,,,./0.png
94.857779,21.171573,,,,./0.png
94.857014,21.168965,,,,./0.png
94.857137,21.169461,,,,./0.png
94.854841,21.16858,,,,./0.png
94.856723,21.167795,,,,./0.png
94.856845,21.168191,,,,./0.png
94.867071,21.172615,,,,./0.png
94.866143,21.172352,,,,./0.png
94.866035,21.172263,,,,./0.png
94.865961,21.172234,,,,./0.png
94.868192,21.174755,,,,./0.png
94.867075,21.173817,,,,./0.png
94.869078,21.174223,,,,./0.png
94.869108,21.174094,,,,./0.png
94.86916,21.173984,,,,./0.png
94.86919,21.173835,,,,./0.png
94.869252,21.173686,,,,./0.png
94.868142,21.173295,,,,./0.png
94.870671,21.172337,,,,./0.png
94.870545,21.172487,,,,./0.png
94.870364,21.172438,,,,./0.png
94.870424,21.17216,,,,./0.png
94.871321,21.172522,,,,./0.png
94.878717,21.179226,,,,./0.png
94.878107,21.178027,,,,./0.png
94.878002,21.178157,,,,./0.png
94.878239,21.17757,,,,./0.png
94.876951,21.177378,,,,./0.png
94.884389,21.181509,,,,./0.png
94.884556,21.181259,,,,./0.png
94.884653,21.181338,,,,./0.png
94.883627,21.179188,,,,./0.png
94.883607,21.179258,,,,./0.png
94.883438,21.179339,,,,./0.png
94.883321,21.179339,,,,./0.png
94.886484,21.183275,,,,./0.png
94.886177,21.183366,,,,./0.png
94.886368,21.18254,,,,./0.png
94.876555,21.163275,,,,./0.png
94.876153,21.163446,,,,./0.png
94.878378,21.162917,,,,./0.png
94.878772,21.162974,,,,./0.png
94.878258,21.16261,,,,./0.png
94.878725,21.162577,,,,./0.png
94.879067,21.162754,,,,./0.png
94.87888,21.163947,,,,./0.png
94.879413,21.164044,,,,./0.png
94.87951,21.164192,,,,./0.png
94.879581,21.163923,,,,./0.png
94.883569,21.165848,,,,./0.png
94.882884,21.167193,,,,./0.png
94.882723,21.167005,,,,./0.png
94.882636,21.166857,,,,./0.png
94.882834,21.166587,,,,./0.png
94.882322,21.166421,,,,./0.png
94.883575,21.163702,,,,./0.png
94.885313,21.16414,,,,./0.png
94.885348,21.164427,,,,./0.png
94.884435,21.162744,,,,./0.png
94.884642,21.162306,,,,./0.png
94.88601,21.161185,,,,./0.png
94.886732,21.1629,,,,./0.png
94.886445,21.159425,,,,./0.png
94.8862,21.159406,,,,./0.png
94.884886,21.160556,,,,./0.png
94.884751,21.160805,,,,./0.png
94.88458,21.160737,,,,./0.png
94.884533,21.160349,,,,./0.png
94.884766,21.160338,,,,./0.png
94.883474,21.160653,,,,./0.png
94.883367,21.160674,,,,./0.png
94.883219,21.160704,,,,./0.png
94.880614,21.158881,,,,./0.png
94.889109,21.161724,,,,./0.png
94.889117,21.161496,,,,./0.png
94.889227,21.160979,,,,./0.png
94.876671,21.158933,,,,./0.png
94.876712,21.158734,,,,./0.png
94.876965,21.158564,,,,./0.png
94.876848,21.158574,,,,./0.png
94.876784,21.158565,,,,./0.png
94.876592,21.158556,,,,./0.png
94.87554,21.16027,,,,./0.png
94.875105,21.160293,,,,./0.png
94.875176,21.160034,,,,./0.png
94.871193,21.159391,,,,./0.png
94.871195,21.158735,,,,./0.png
94.880796,21.154649,,,,./0.png
94.87848,21.148681,,,,./0.png
94.87862,21.14885,,,,./0.png
94.878608,21.14874,,,,./0.png
94.879529,21.148388,,,,./0.png
94.879501,21.148696,,,,./0.png
94.879416,21.148696,,,,./0.png
94.879369,21.148398,,,,./0.png
94.879263,21.148379,,,,./0.png
94.879291,21.148031,,,,./0.png
94.879537,21.148189,,,,./0.png
94.879557,21.148099,,,,./0.png
94.879534,21.14798,,,,./0.png
94.879533,21.147881,,,,./0.png
94.879632,21.148168,,,,./0.png
